지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
129,서산,2015-01-01 00:00,,5.3,340,,
129,서산,2015-01-01 01:00,-4.4,5.4,340,47,6
129,서산,2015-01-01 02:00,-4.6,4.9,340,50,
129,서산,2015-01-01 03:00,-4.7,6.2,320,50,6
129,서산,2015-01-01 04:00,-5,5,320,56,6
129,서산,2015-01-01 05:00,-5,5.5,320,52,6
129,서산,2015-01-01 06:00,-5.3,4,340,58,6
129,서산,2015-01-01 07:00,-5.7,5,340,58,6
129,서산,2015-01-01 08:00,-5.7,4.6,340,56,3
129,서산,2015-01-01 09:00,-5.4,6.7,320,57,6
129,서산,2015-01-01 10:00,-5,6.5,320,59,6
129,서산,2015-01-01 11:00,-4.7,6.4,320,60,7
129,서산,2015-01-01 12:00,-5,6,320,62,8
129,서산,2015-01-01 13:00,-4.4,5.7,320,58,8
129,서산,2015-01-01 14:00,-4.2,5.9,320,62,8
129,서산,2015-01-01 15:00,-3.6,6.2,320,61,8
129,서산,2015-01-01 16:00,-3.9,5.2,320,61,6
129,서산,2015-01-01 17:00,-4.3,5,320,62,6
129,서산,2015-01-01 18:00,-4.2,2.8,320,64,8
129,서산,2015-01-01 19:00,-3.9,3.4,290,65,
129,서산,2015-01-01 20:00,-3.7,3.2,320,65,
129,서산,2015-01-01 21:00,-3.7,3.6,320,66,8
129,서산,2015-01-01 22:00,-3.8,2.2,320,67,8
129,서산,2015-01-01 23:00,-4,2.3,340,73,8
129,서산,2015-01-02 00:00,-4.1,1.3,,74,8
129,서산,2015-01-02 01:00,-4.4,.4,0,76,8
129,서산,2015-01-02 02:00,-4.4,.7,90,79,8
129,서산,2015-01-02 03:00,-4.6,.4,0,82,8
129,서산,2015-01-02 04:00,-5,.5,90,87,8
129,서산,2015-01-02 05:00,-5.2,.5,70,89,8
129,서산,2015-01-02 06:00,-5.7,.5,50,91,8
129,서산,2015-01-02 07:00,-7.2,.2,0,92,4
129,서산,2015-01-02 08:00,-6.1,0,0,92,8
129,서산,2015-01-02 09:00,-5.3,.1,0,90,
129,서산,2015-01-02 10:00,-4.2,1.9,,79,
129,서산,2015-01-02 11:00,-3.5,2.7,,59,8
129,서산,2015-01-02 12:00,-2.7,4.7,,47,8
129,서산,2015-01-02 13:00,-1.3,4.1,340,44,2
129,서산,2015-01-02 14:00,-.8,5.2,320,42,0
129,서산,2015-01-02 15:00,-1.1,6.2,320,45,0
129,서산,2015-01-02 16:00,-1.3,5.1,320,43,0
129,서산,2015-01-02 17:00,-1.7,2.5,340,49,0
129,서산,2015-01-02 18:00,-3.2,.7,270,55,0
129,서산,2015-01-02 19:00,-2.8,1.8,320,57,
129,서산,2015-01-02 20:00,-3.4,1.5,20,54,
129,서산,2015-01-02 21:00,-5.1,0,0,64,0
129,서산,2015-01-02 22:00,-4.4,.9,340,68,
129,서산,2015-01-02 23:00,-4.5,1.5,340,72,
129,서산,2015-01-03 00:00,-6.5,1,110,80,0
129,서산,2015-01-03 01:00,-7.7,.7,90,81,
129,서산,2015-01-03 02:00,-8.2,.4,0,85,
129,서산,2015-01-03 03:00,-9,.1,0,87,0
129,서산,2015-01-03 04:00,-8.7,.2,0,90,0
129,서산,2015-01-03 05:00,-9.5,.1,0,90,0
129,서산,2015-01-03 06:00,-9.6,.1,0,90,0
129,서산,2015-01-03 07:00,-8.6,.1,0,90,6
129,서산,2015-01-03 08:00,-7.6,.3,0,86,7
129,서산,2015-01-03 09:00,-5.6,.2,0,84,7
129,서산,2015-01-03 10:00,-3.8,.4,0,76,7
129,서산,2015-01-03 11:00,-.9,1.1,270,71,5
129,서산,2015-01-03 12:00,.9,1.3,200,67,3
129,서산,2015-01-03 13:00,1.6,2.3,180,65,3
129,서산,2015-01-03 14:00,1.7,2.4,230,66,4
129,서산,2015-01-03 15:00,3,2.5,200,65,4
129,서산,2015-01-03 16:00,2.1,3,180,67,3
129,서산,2015-01-03 17:00,1.4,2.5,180,74,5
129,서산,2015-01-03 18:00,1.2,2.3,180,77,6
129,서산,2015-01-03 19:00,.5,.7,180,85,
129,서산,2015-01-03 20:00,.8,.9,180,79,
129,서산,2015-01-03 21:00,1.3,1.9,160,78,8
129,서산,2015-01-03 22:00,1.4,2.7,180,77,
129,서산,2015-01-03 23:00,1,1.8,200,79,
129,서산,2015-01-04 00:00,1,1.5,200,83,8
129,서산,2015-01-04 01:00,.2,.6,,87,
129,서산,2015-01-04 02:00,-1.5,.6,270,92,
129,서산,2015-01-04 03:00,-1.8,.3,0,93,3
129,서산,2015-01-04 04:00,-1.9,.3,0,93,8
129,서산,2015-01-04 05:00,-.8,.3,0,93,8
129,서산,2015-01-04 06:00,-.7,.7,140,93,8
129,서산,2015-01-04 07:00,-1.2,.1,0,93,8
129,서산,2015-01-04 08:00,-2,.1,0,93,7
129,서산,2015-01-04 09:00,.2,.1,0,93,6
129,서산,2015-01-04 10:00,3.3,.5,180,91,3
129,서산,2015-01-04 11:00,5.7,1.7,250,80,0
129,서산,2015-01-04 12:00,7.2,2.4,200,77,2
129,서산,2015-01-04 13:00,8.4,2.2,230,76,2
129,서산,2015-01-04 14:00,8.4,2.8,200,70,2
129,서산,2015-01-04 15:00,8.6,2.6,230,73,0
129,서산,2015-01-04 16:00,7.9,2.9,230,75,3
129,서산,2015-01-04 17:00,6.2,1.5,200,84,0
129,서산,2015-01-04 18:00,3.4,.8,180,91,0
129,서산,2015-01-04 19:00,2.5,.3,0,93,
129,서산,2015-01-04 20:00,.8,.2,0,93,
129,서산,2015-01-04 21:00,.8,.6,90,93,0
129,서산,2015-01-04 22:00,-1.3,.5,50,93,
129,서산,2015-01-04 23:00,-2.9,.4,0,93,
129,서산,2015-01-05 00:00,-3,.2,0,93,
129,서산,2015-01-05 01:00,-3,.2,0,93,10
129,서산,2015-01-05 02:00,-1.2,.6,70,93,10
129,서산,2015-01-05 03:00,-.9,.9,50,93,10
129,서산,2015-01-05 04:00,-.7,0,0,93,10
