지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
129,서산,2018-01-01 00:00,-2.1,1.1,70,70,
129,서산,2018-01-01 01:00,-3.5,1,90,79,
129,서산,2018-01-01 02:00,-4.3,.4,0,86,
129,서산,2018-01-01 03:00,-5.1,.2,0,89,
129,서산,2018-01-01 04:00,-5.6,.6,20,90,
129,서산,2018-01-01 05:00,-5.3,.1,0,88,
129,서산,2018-01-01 06:00,-5.9,.7,90,88,
129,서산,2018-01-01 07:00,-6.5,.5,110,91,
129,서산,2018-01-01 08:00,-6.5,1.1,110,91,
129,서산,2018-01-01 09:00,-4.3,0,0,87,
129,서산,2018-01-01 10:00,-1.5,.5,270,71,
129,서산,2018-01-01 11:00,1.4,1.3,250,59,
129,서산,2018-01-01 12:00,2.3,.7,250,42,
129,서산,2018-01-01 13:00,2.6,.8,160,42,
129,서산,2018-01-01 14:00,3,1.7,200,44,
129,서산,2018-01-01 15:00,3.7,2.2,200,44,
129,서산,2018-01-01 16:00,3.5,2,230,46,
129,서산,2018-01-01 17:00,2.4,2,200,53,
129,서산,2018-01-01 18:00,.8,1.5,180,59,
129,서산,2018-01-01 19:00,-1.4,.2,0,74,
129,서산,2018-01-01 20:00,-2.1,.1,0,81,
129,서산,2018-01-01 21:00,-3,0,0,84,
129,서산,2018-01-01 22:00,-3.2,0,0,85,
129,서산,2018-01-01 23:00,-3.6,0,0,87,
129,서산,2018-01-02 00:00,-4.1,0,0,90,
129,서산,2018-01-02 01:00,-4.2,.3,0,91,
129,서산,2018-01-02 02:00,-4.8,.1,0,92,
129,서산,2018-01-02 03:00,-4.7,0,0,93,
129,서산,2018-01-02 04:00,-4.8,.1,0,93,
129,서산,2018-01-02 05:00,-5.3,.6,50,94,
129,서산,2018-01-02 06:00,-4.7,0,0,95,
129,서산,2018-01-02 07:00,-5.2,.6,70,94,
129,서산,2018-01-02 08:00,-4.8,0,0,95,
129,서산,2018-01-02 09:00,-2.5,.5,50,95,
129,서산,2018-01-02 10:00,-.1,1.9,20,90,
129,서산,2018-01-02 11:00,.7,2.8,20,63,
129,서산,2018-01-02 12:00,1.3,1.5,20,58,
129,서산,2018-01-02 13:00,2.1,2.8,360,55,
129,서산,2018-01-02 14:00,2.6,2.4,360,47.9,
129,서산,2018-01-02 15:00,2,2.2,20,38.6,
129,서산,2018-01-02 16:00,1.5,1.6,360,44,
129,서산,2018-01-02 17:00,.5,2.4,320,45,
129,서산,2018-01-02 18:00,-.2,1.8,340,45,
129,서산,2018-01-03 08:00,-5.9,.9,360,76,
129,서산,2018-01-03 09:00,-3.4,.7,70,63,
129,서산,2018-01-03 10:00,-1.7,2,340,59,
129,서산,2018-01-03 11:00,-.9,3.4,340,57,
129,서산,2018-01-03 12:00,-.4,3.2,360,53,
129,서산,2018-01-03 13:00,-.8,4.7,320,57,
129,서산,2018-01-03 14:00,-.5,3.8,320,56,
129,서산,2018-01-03 15:00,-.5,3.3,320,55,
129,서산,2018-01-03 16:00,-1.2,3.8,320,59,
129,서산,2018-01-03 17:00,-1.8,2.7,320,59,
129,서산,2018-01-03 18:00,-2.5,1.9,320,64,
129,서산,2018-01-03 19:00,-2.8,1.3,290,65,
129,서산,2018-01-03 20:00,-3.9,1.5,180,72,
129,서산,2018-01-03 21:00,-4.3,.8,180,78,
129,서산,2018-01-03 22:00,-4.2,.4,0,81,
129,서산,2018-01-03 23:00,-2.7,3.3,340,67,
129,서산,2018-01-04 00:00,-3.3,2.8,340,65,
129,서산,2018-01-04 01:00,-3.9,2.9,360,64,
129,서산,2018-01-04 02:00,-4.7,1.4,50,62,
129,서산,2018-01-04 03:00,-5.1,.9,50,60,
129,서산,2018-01-04 04:00,-5.2,1.1,50,59,
129,서산,2018-01-04 05:00,-5.2,1,70,59,
129,서산,2018-01-04 06:00,-5.8,1.1,50,65,
129,서산,2018-01-04 07:00,-5.7,.9,70,62,
129,서산,2018-01-04 08:00,-6.6,.1,0,73,
129,서산,2018-01-04 09:00,-5.6,.1,0,71,
129,서산,2018-01-04 10:00,-3.7,1.3,360,60,
129,서산,2018-01-04 11:00,-3.1,1.9,20,55,
129,서산,2018-01-04 12:00,-2,2.5,20,52,
129,서산,2018-01-04 13:00,-1,2.1,360,52,
129,서산,2018-01-04 16:00,-2.5,2.3,360,53,
129,서산,2018-01-04 17:00,-3,1.8,20,56,
129,서산,2018-01-04 18:00,-3.1,1.1,340,58,
129,서산,2018-01-04 19:00,-3.4,.7,20,60,
129,서산,2018-01-04 20:00,-3.5,1,70,60,
129,서산,2018-01-04 21:00,-3.5,.4,0,61,
129,서산,2018-01-04 22:00,-3.8,0,0,69,
129,서산,2018-01-04 23:00,-4.2,.6,50,68,
129,서산,2018-01-05 00:00,-4.6,.2,0,75,
129,서산,2018-01-05 01:00,-4.7,.3,0,74,
129,서산,2018-01-05 02:00,-5.4,0,0,77,
129,서산,2018-01-05 03:00,-5.2,.1,0,82,
129,서산,2018-01-05 04:00,-5.5,1.1,90,82,
129,서산,2018-01-05 05:00,-5.8,0,0,85,
129,서산,2018-01-05 06:00,-5.5,.6,70,81,
129,서산,2018-01-05 07:00,-6.2,.3,0,85,
129,서산,2018-01-05 08:00,-5.1,.3,0,82,
129,서산,2018-01-05 09:00,-4.7,.4,0,84,
129,서산,2018-01-05 10:00,-2.6,.4,0,70,
129,서산,2018-01-05 11:00,-.2,2,290,62,
129,서산,2018-01-05 12:00,1.4,2.5,320,59,
129,서산,2018-01-05 13:00,1.8,4.4,320,49,
129,서산,2018-01-05 14:00,1.7,3.5,340,58,
129,서산,2018-01-05 15:00,1.4,4.7,290,59,
129,서산,2018-01-05 16:00,.8,3.1,320,64,
129,서산,2018-01-05 17:00,.8,3.1,290,66,
129,서산,2018-01-05 18:00,.5,3.9,290,66,
129,서산,2018-01-05 19:00,-.3,1.3,320,67,
129,서산,2018-01-05 20:00,-1.5,.6,250,74,
129,서산,2018-01-05 21:00,-2,.7,200,79,
129,서산,2018-01-05 22:00,-2.7,.4,0,82,
129,서산,2018-01-05 23:00,-2.6,1.3,180,80,
129,서산,2018-01-06 00:00,-1.4,1.3,340,69,
129,서산,2018-01-06 01:00,-1.6,1,340,62,
129,서산,2018-01-06 02:00,-2.7,.7,250,68,
129,서산,2018-01-06 03:00,-3.4,1.1,90,69,
129,서산,2018-01-06 04:00,-4.7,1.5,110,82,
129,서산,2018-01-06 05:00,-6.5,.5,20,88,
129,서산,2018-01-06 06:00,-7.4,.8,70,88,
129,서산,2018-01-06 07:00,-7.4,.3,0,88,
129,서산,2018-01-06 08:00,-7.9,.1,0,88,
129,서산,2018-01-06 09:00,-5.1,.2,0,87,
129,서산,2018-01-06 10:00,-.8,.4,0,66,
129,서산,2018-01-06 11:00,1.4,3.5,320,57,
129,서산,2018-01-06 12:00,2,3.1,320,49,
129,서산,2018-01-06 13:00,2.4,3.9,320,47,
129,서산,2018-01-06 14:00,2.7,3.2,340,41,
129,서산,2018-01-06 15:00,2.7,2.7,360,48,
129,서산,2018-01-06 16:00,2.1,2.3,20,45,
129,서산,2018-01-06 17:00,.9,1.6,360,55,
129,서산,2018-01-06 18:00,-.8,1.8,290,62,
129,서산,2018-01-06 19:00,-2.2,1.3,90,67,
129,서산,2018-01-06 20:00,-3.9,.5,230,80,
129,서산,2018-01-06 21:00,-4.7,.4,0,81,
129,서산,2018-01-06 22:00,-4.9,1.2,70,81,
129,서산,2018-01-06 23:00,-5.9,.6,50,87,
129,서산,2018-01-07 00:00,-5.9,.8,70,86,
129,서산,2018-01-07 01:00,-6.7,.1,0,89,
129,서산,2018-01-07 02:00,-7.2,.5,180,89,
129,서산,2018-01-07 03:00,-7.2,.7,340,90,
129,서산,2018-01-07 04:00,-7.2,1.2,70,88,
129,서산,2018-01-07 05:00,-4.3,1.4,50,72,
129,서산,2018-01-07 06:00,-5.7,.4,0,79,
129,서산,2018-01-07 07:00,-5,1,20,75,
129,서산,2018-01-07 08:00,-3.4,1.5,20,64,
129,서산,2018-01-07 09:00,-4.4,2.5,180,77,
129,서산,2018-01-07 10:00,-2.8,.2,0,76,
129,서산,2018-01-07 11:00,-.7,.6,270,58,
129,서산,2018-01-07 12:00,.3,1,230,55,
129,서산,2018-01-07 13:00,1.2,1,110,50,
129,서산,2018-01-07 14:00,2.2,.6,50,40,
129,서산,2018-01-07 15:00,2.3,1.6,90,45,
129,서산,2018-01-07 16:00,1.6,2.1,70,50,
129,서산,2018-01-07 17:00,1.1,1,20,50,
129,서산,2018-01-07 18:00,.7,.5,360,52,
129,서산,2018-01-07 19:00,.6,1.1,50,51,
129,서산,2018-01-07 20:00,.4,.7,360,58,
129,서산,2018-01-07 21:00,.3,.1,0,59,
129,서산,2018-01-07 22:00,.2,.6,90,63,
129,서산,2018-01-07 23:00,.4,.8,70,60,
129,서산,2018-01-08 00:00,.5,.6,70,59,
129,서산,2018-01-08 01:00,.8,1.1,70,57,
129,서산,2018-01-08 02:00,.8,.9,50,57,
129,서산,2018-01-08 03:00,.7,.6,50,61,
129,서산,2018-01-08 04:00,.7,1.8,20,63,
129,서산,2018-01-08 05:00,-.3,1.7,110,81,
129,서산,2018-01-08 06:00,-.7,.4,0,90,
129,서산,2018-01-08 07:00,-.8,1.1,110,91,
129,서산,2018-01-08 08:00,-.6,.3,0,89,
129,서산,2018-01-08 09:00,-.5,.8,200,90,
129,서산,2018-01-08 10:00,.3,.8,180,85,
129,서산,2018-01-08 11:00,1.2,.7,230,84,
129,서산,2018-01-08 12:00,1.5,1.6,230,78,
129,서산,2018-01-08 13:00,2.4,1.8,180,72,
129,서산,2018-01-08 14:00,2.9,1.6,160,68,
129,서산,2018-01-08 15:00,3.9,2.6,230,58,
129,서산,2018-01-08 16:00,3.1,3.1,200,65,
129,서산,2018-01-08 17:00,1.5,2.9,250,90,
129,서산,2018-01-08 18:00,.7,1.4,230,97,
129,서산,2018-01-08 19:00,2.2,4,270,91,
129,서산,2018-01-08 20:00,2.4,4.9,270,73,
129,서산,2018-01-08 21:00,1.9,5.3,290,68,
129,서산,2018-01-08 22:00,-.2,6.7,290,88,
129,서산,2018-01-08 23:00,-1,5.8,290,91,
129,서산,2018-01-09 00:00,-.5,7.4,290,67,
129,서산,2018-01-09 01:00,-1.6,5.2,290,81,
129,서산,2018-01-09 02:00,-2.2,6.2,290,91,
129,서산,2018-01-09 03:00,-2.2,5.4,290,88,
129,서산,2018-01-09 04:00,-2.3,4,320,88,
129,서산,2018-01-09 05:00,-2.4,4.2,320,69,
129,서산,2018-01-09 06:00,-2,4.5,320,67,
