지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
152,울산,2018-01-01 00:00,.6,1.6,320,30,0
152,울산,2018-01-01 01:00,.8,4,290,34,
152,울산,2018-01-01 02:00,.4,2,360,37,
152,울산,2018-01-01 03:00,.2,2.8,360,42,0
152,울산,2018-01-01 04:00,.1,3.5,340,41,0
152,울산,2018-01-01 05:00,.1,5.3,320,39,0
152,울산,2018-01-01 06:00,.1,7,320,38,0
152,울산,2018-01-01 07:00,-.1,4.4,320,39,0
152,울산,2018-01-01 08:00,-.1,1.7,360,39,0
152,울산,2018-01-01 09:00,.9,2.4,360,34,0
152,울산,2018-01-01 10:00,1.7,4.2,340,30,0
152,울산,2018-01-01 11:00,3,4.4,320,25,0
152,울산,2018-01-01 12:00,3.9,5.2,290,21,0
152,울산,2018-01-01 13:00,4.7,4.1,320,20,0
152,울산,2018-01-01 14:00,5.1,3.8,290,18,0
152,울산,2018-01-01 15:00,5,4.6,320,17,0
152,울산,2018-01-01 16:00,5.5,1.7,320,17,0
152,울산,2018-01-01 17:00,4.3,3.1,290,21,0
152,울산,2018-01-01 18:00,3.5,2.1,290,26,0
152,울산,2018-01-01 19:00,3,2,290,28,
152,울산,2018-01-01 20:00,2.8,2.6,290,31,
152,울산,2018-01-01 21:00,2.2,1.3,360,35,0
152,울산,2018-01-01 22:00,1.7,1.9,360,38,
152,울산,2018-01-01 23:00,1,1.1,50,41,
152,울산,2018-01-02 00:00,.9,1.3,340,43,0
152,울산,2018-01-02 01:00,.7,.6,20,39,
152,울산,2018-01-02 02:00,-.3,1.3,70,43,
152,울산,2018-01-02 03:00,-.4,1.3,50,46,0
152,울산,2018-01-02 04:00,-.2,1.2,360,45,0
152,울산,2018-01-02 05:00,-.2,1.4,20,46,0
152,울산,2018-01-02 06:00,.1,1.8,360,49,0
152,울산,2018-01-02 07:00,-.4,1.8,360,52,0
152,울산,2018-01-02 08:00,-.4,.7,20,55,0
152,울산,2018-01-02 09:00,2.7,1.9,320,53,0
152,울산,2018-01-02 10:00,4.1,1.3,320,48,0
152,울산,2018-01-02 11:00,5.6,1.1,200,38,0
152,울산,2018-01-02 12:00,6.5,4.2,340,34,0
152,울산,2018-01-02 13:00,7,3.8,320,38,0
152,울산,2018-01-02 14:00,7.5,3.5,320,39,0
152,울산,2018-01-02 15:00,7.6,3.9,290,39,1
152,울산,2018-01-02 16:00,7.4,2.5,320,41,1
152,울산,2018-01-02 17:00,7,1.5,340,43,5
152,울산,2018-01-02 18:00,5.8,1.4,360,50,5
152,울산,2018-01-02 19:00,5.7,2.5,290,52,
152,울산,2018-01-02 20:00,5.4,1.7,320,51,
152,울산,2018-01-02 21:00,4.4,2.1,360,51,8
152,울산,2018-01-02 22:00,4.3,3.1,320,30,
152,울산,2018-01-02 23:00,3.1,1.7,360,29,
152,울산,2018-01-03 00:00,2.7,2.5,360,26,5
152,울산,2018-01-03 01:00,2.7,3.2,290,26,
152,울산,2018-01-03 02:00,1.9,2.9,290,25,
152,울산,2018-01-03 03:00,1.3,4,320,23,7
152,울산,2018-01-03 04:00,.2,2.8,360,24,7
152,울산,2018-01-03 05:00,-.7,4.5,340,29,2
152,울산,2018-01-03 06:00,-1.3,4.2,340,35,8
152,울산,2018-01-03 07:00,-1.5,3.4,340,37,7
152,울산,2018-01-03 08:00,-1.8,3.1,320,39,0
152,울산,2018-01-03 09:00,-.7,1.9,360,37,0
152,울산,2018-01-03 10:00,.6,2.8,360,33,0
152,울산,2018-01-03 11:00,2.5,2.8,20,28,1
152,울산,2018-01-03 12:00,3.6,3.8,90,24,2
152,울산,2018-01-03 13:00,3.9,2.9,320,22,6
152,울산,2018-01-03 14:00,4.5,2.3,320,21,3
152,울산,2018-01-03 15:00,4.6,2.6,340,19,6
152,울산,2018-01-03 16:00,3.8,2.5,320,20,7
152,울산,2018-01-03 17:00,3,2.8,320,21,8
152,울산,2018-01-03 18:00,2.2,2.9,290,23,7
152,울산,2018-01-03 19:00,1.3,2.2,320,26,
152,울산,2018-01-03 20:00,.2,1.9,320,28,
152,울산,2018-01-03 21:00,-1.4,.6,70,32,0
152,울산,2018-01-03 22:00,-.7,2.2,340,32,
152,울산,2018-01-03 23:00,-1.5,2.2,320,36,
152,울산,2018-01-04 00:00,-1.4,1.6,340,37,5
152,울산,2018-01-04 01:00,-1.7,2.6,340,37,
152,울산,2018-01-04 02:00,-2,2,360,39,
152,울산,2018-01-04 03:00,-2.1,2.8,360,41,4
152,울산,2018-01-04 04:00,-2.4,1.5,360,42,6
152,울산,2018-01-04 05:00,-2.4,3.3,340,42,3
152,울산,2018-01-04 06:00,-2.7,3.8,340,44,7
152,울산,2018-01-04 07:00,-2.9,2.8,340,45,7
152,울산,2018-01-04 08:00,-2.9,3,340,46,3
152,울산,2018-01-04 09:00,-1.9,2.3,340,44,2
152,울산,2018-01-04 10:00,-.6,3.8,340,41,1
152,울산,2018-01-04 11:00,1.8,2.2,340,37,1
152,울산,2018-01-04 12:00,3,2.2,360,34,3
152,울산,2018-01-04 13:00,5,1.6,340,33,6
152,울산,2018-01-04 14:00,5.3,1.5,20,38,7
152,울산,2018-01-04 15:00,5.4,1,70,43,8
152,울산,2018-01-04 16:00,5.3,.4,0,46,10
152,울산,2018-01-04 17:00,4.9,.7,70,52,9
152,울산,2018-01-04 18:00,3.9,2.1,340,41,9
152,울산,2018-01-04 19:00,3.5,1.9,320,40,
152,울산,2018-01-04 20:00,3.3,2.1,320,41,
152,울산,2018-01-04 21:00,3,1.2,320,42,10
152,울산,2018-01-04 22:00,2.8,1.9,340,46,
152,울산,2018-01-04 23:00,2.8,2.8,320,46,
152,울산,2018-01-05 00:00,2.8,1,290,46,10
152,울산,2018-01-05 01:00,2.4,.9,360,47,
152,울산,2018-01-05 02:00,1.9,1.5,360,48,
