지점,지점명,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위)
152,울산,2015-01-01 0:00,,6.5,290,,
152,울산,2015-01-01 1:00,-1,4.5,270,42,
152,울산,2015-01-01 2:00,-1.3,3.4,320,39,
152,울산,2015-01-01 3:00,-2.5,5,320,49,4
152,울산,2015-01-01 4:00,-3.3,6.2,290,36,0
152,울산,2015-01-01 5:00,-3.7,7,290,28,0
152,울산,2015-01-01 6:00,-4.4,5.9,290,29,0
152,울산,2015-01-01 7:00,-4.8,4,320,30,1
152,울산,2015-01-01 8:00,-4.8,4.2,320,31,0
152,울산,2015-01-01 9:00,-4.2,4,340,29,0
152,울산,2015-01-01 10:00,-3.7,8.5,320,26,0
152,울산,2015-01-01 11:00,-3,7.9,290,22,0
152,울산,2015-01-01 12:00,-1.9,5.6,340,19,0
152,울산,2015-01-01 13:00,-1.2,7,320,18,0
152,울산,2015-01-01 14:00,-0.2,3.8,340,17,0
152,울산,2015-01-01 15:00,0.3,4.3,340,18,0
152,울산,2015-01-01 16:00,-0.4,5.3,290,21,0
152,울산,2015-01-01 17:00,-0.9,6.3,320,23,0
152,울산,2015-01-01 18:00,-1.6,5.4,320,25,0
152,울산,2015-01-01 19:00,-1.7,4.9,320,26,
152,울산,2015-01-01 20:00,-2.3,1.5,50,28,
152,울산,2015-01-01 21:00,-2.9,3.6,,33,0
152,울산,2015-01-01 22:00,-3.7,2.6,20,38,
152,울산,2015-01-01 23:00,-4.1,2.3,,42,
152,울산,2015-01-02 0:00,-4.4,1.7,,44,0
152,울산,2015-01-02 1:00,-4.5,2.3,20,45,
152,울산,2015-01-02 2:00,-4.1,5.1,320,45,
152,울산,2015-01-02 3:00,-3.6,6.1,320,47,2
152,울산,2015-01-02 4:00,-3.5,4.6,340,49,5
152,울산,2015-01-02 5:00,-3.6,2.9,340,50,0
152,울산,2015-01-02 6:00,-3.3,3.4,340,52,0
152,울산,2015-01-02 7:00,-3.1,2.6,340,52,0
152,울산,2015-01-02 8:00,-3.8,0.8,50,55,3
152,울산,2015-01-02 9:00,-1.3,2.3,180,48,2
152,울산,2015-01-02 10:00,-0.2,5,290,34,0
152,울산,2015-01-02 11:00,1.1,5.8,290,28,0
152,울산,2015-01-02 12:00,1.9,6.5,320,27,1
152,울산,2015-01-02 13:00,2.4,5.4,320,28,2
152,울산,2015-01-02 14:00,2.3,6.6,290,30,2
152,울산,2015-01-02 15:00,2.3,4.7,340,30,2
152,울산,2015-01-02 16:00,1.4,7.8,320,30,0
152,울산,2015-01-02 17:00,0.6,5,320,31,0
152,울산,2015-01-02 18:00,0,3.5,320,29,0
152,울산,2015-01-02 19:00,-0.6,2.9,340,29,
152,울산,2015-01-02 20:00,-1.1,2.2,320,28,
152,울산,2015-01-02 21:00,-1.6,4.8,320,30,0
152,울산,2015-01-02 22:00,-1.9,2.1,320,29,
152,울산,2015-01-02 23:00,-2.1,3.1,340,29,
152,울산,2015-01-03 0:00,-2.6,3.2,340,32,0
152,울산,2015-01-03 1:00,-3.1,1.4,50,33,
152,울산,2015-01-03 2:00,-3.5,2.6,20,35,
152,울산,2015-01-03 3:00,-2.5,3.7,340,32,0
152,울산,2015-01-03 4:00,-3.3,2.5,,34,0
152,울산,2015-01-03 5:00,-4.1,1.2,20,36,0
152,울산,2015-01-03 6:00,-5,1.3,320,42,0
152,울산,2015-01-03 7:00,-4.3,1.4,,37,0
152,울산,2015-01-03 8:00,-3.4,2.5,,32,2
152,울산,2015-01-03 9:00,-2.6,0.7,250,38,2
152,울산,2015-01-03 10:00,0.8,0.9,290,24,3
152,울산,2015-01-03 11:00,2.4,2,250,19,2
152,울산,2015-01-03 12:00,5.1,1.6,320,11,3
152,울산,2015-01-03 13:00,6.1,1.6,110,12,3
152,울산,2015-01-03 14:00,6.2,3,70,11,4
152,울산,2015-01-03 15:00,6.7,2.6,70,9,4
152,울산,2015-01-03 16:00,7.2,2,70,10,2
152,울산,2015-01-03 17:00,6.4,1.8,20,12,3
152,울산,2015-01-03 18:00,4,0.1,0,17,3
152,울산,2015-01-03 19:00,2.4,1,290,22,
152,울산,2015-01-03 20:00,1.3,0.3,0,28,
152,울산,2015-01-03 21:00,1.6,0.7,270,30,7
152,울산,2015-01-03 22:00,1.6,0.3,0,33,
152,울산,2015-01-03 23:00,1.2,0.4,0,35,
152,울산,2015-01-04 0:00,0.6,0.6,290,36,7
152,울산,2015-01-04 1:00,0.7,0.7,230,38,
152,울산,2015-01-04 2:00,0.6,0.6,50,39,
152,울산,2015-01-04 3:00,-0.4,0.2,0,43,4
152,울산,2015-01-04 4:00,-0.5,0.6,250,46,5
152,울산,2015-01-04 5:00,-0.8,0.8,250,46,4
152,울산,2015-01-04 6:00,-0.9,0.6,230,51,3
152,울산,2015-01-04 7:00,-1.5,0.8,270,54,3
152,울산,2015-01-04 8:00,-2,0.4,0,56,1
152,울산,2015-01-04 9:00,-0.2,0.5,290,52,0
152,울산,2015-01-04 10:00,2.5,0.8,250,43,0
152,울산,2015-01-04 11:00,6.8,0.7,180,35,0
152,울산,2015-01-04 12:00,9.5,0.8,110,38,0
152,울산,2015-01-04 13:00,11.3,1.5,180,37,0
152,울산,2015-01-04 14:00,11.5,2.4,70,37,0
152,울산,2015-01-04 15:00,12.4,1.1,160,35,1
152,울산,2015-01-04 16:00,11.6,2,70,35,0
152,울산,2015-01-04 17:00,10.4,2.6,20,39,0
152,울산,2015-01-04 18:00,9,1.9,,44,0
152,울산,2015-01-04 19:00,7.4,2,70,50,
152,울산,2015-01-04 20:00,5.5,0.5,290,55,
152,울산,2015-01-04 21:00,4.2,2.6,290,62,0
152,울산,2015-01-04 22:00,3.9,1.4,320,62,
152,울산,2015-01-04 23:00,4,1.3,340,62,
152,울산,2015-01-05 0:00,1.6,1.4,250,70,0
152,울산,2015-01-05 1:00,2,2.8,290,71,
152,울산,2015-01-05 2:00,0.9,0.8,270,75,
152,울산,2015-01-05 3:00,0.5,0.8,320,76,0
152,울산,2015-01-05 4:00,0.2,1.4,290,77,0
152,울산,2015-01-05 5:00,-0.7,1.6,250,80,0
152,울산,2015-01-05 6:00,-0.8,0.8,270,81,0
152,울산,2015-01-05 7:00,-1,1.1,270,82,1
152,울산,2015-01-05 8:00,-0.8,0.9,230,81,3
152,울산,2015-01-05 9:00,0.8,0.5,90,77,7
