 format: day,hour,forecast,value  location:53_114 Start : 20180101 
 1,0200,+4,45.000000 
 1,0200,+7,70.000000 
 1,0200,+10,75.000000 
 1,0200,+13,85.000000 
 1,0200,+16,85.000000 
 1,0200,+19,75.000000 
 1,0200,+22,65.000000 
 1,0200,+25,50.000000 
 1,0200,+28,50.000000 
 1,0200,+31,60.000000 
 1,0200,+34,60.000000 
 1,0200,+37,65.000000 
 1,0200,+40,65.000000 
 1,0200,+43,70.000000 
 1,0200,+46,65.000000 
 1,0200,+49,60.000000 
 1,0200,+52,60.000000 
 1,0200,+55,65.000000 
 1,0200,+58,70.000000 
 1,0200,+61,65.000000 
 1,0500,+4,70.000000 
 1,0500,+7,75.000000 
 1,0500,+10,85.000000 
 1,0500,+13,85.000000 
 1,0500,+16,75.000000 
 1,0500,+19,65.000000 
 1,0500,+22,50.000000 
 1,0500,+25,50.000000 
 1,0500,+28,60.000000 
 1,0500,+31,60.000000 
 1,0500,+34,65.000000 
 1,0500,+37,65.000000 
 1,0500,+40,70.000000 
 1,0500,+43,65.000000 
 1,0500,+46,60.000000 
 1,0500,+49,60.000000 
 1,0500,+52,65.000000 
 1,0500,+55,70.000000 
 1,0500,+58,65.000000 
 1,0800,+4,75.000000 
 1,0800,+7,80.000000 
 1,0800,+10,90.000000 
 1,0800,+13,75.000000 
 1,0800,+16,70.000000 
 1,0800,+19,50.000000 
 1,0800,+22,50.000000 
 1,0800,+25,65.000000 
 1,0800,+28,65.000000 
 1,0800,+31,65.000000 
 1,0800,+34,65.000000 
 1,0800,+37,70.000000 
 1,0800,+40,70.000000 
 1,0800,+43,60.000000 
 1,0800,+46,55.000000 
 1,0800,+49,65.000000 
 1,0800,+52,70.000000 
 1,0800,+55,65.000000 
 1,1100,+4,80.000000 
 1,1100,+7,90.000000 
 1,1100,+10,75.000000 
 1,1100,+13,70.000000 
 1,1100,+16,50.000000 
 1,1100,+19,50.000000 
 1,1100,+22,65.000000 
 1,1100,+25,65.000000 
 1,1100,+28,65.000000 
 1,1100,+31,65.000000 
 1,1100,+34,70.000000 
 1,1100,+37,70.000000 
 1,1100,+40,60.000000 
 1,1100,+43,55.000000 
 1,1100,+46,65.000000 
