 format: day,hour,forecast,value  location:53_114 Start : 20180101 
 1,0200,+4,345.000000 
 1,0200,+7,327.000000 
 1,0200,+10,270.000000 
 1,0200,+13,270.000000 
 1,0200,+16,313.000000 
 1,0200,+19,343.000000 
 1,0200,+22,34.000000 
 1,0200,+25,33.000000 
 1,0200,+28,9.000000 
 1,0200,+31,359.000000 
 1,0200,+34,356.000000 
 1,0200,+37,334.000000 
 1,0200,+40,343.000000 
 1,0200,+43,345.000000 
 1,0200,+46,347.000000 
 1,0200,+49,336.000000 
 1,0200,+52,329.000000 
 1,0200,+55,332.000000 
 1,0200,+58,339.000000 
 1,0200,+61,342.000000 
 1,0500,+4,327.000000 
 1,0500,+7,270.000000 
 1,0500,+10,270.000000 
 1,0500,+13,313.000000 
 1,0500,+16,343.000000 
 1,0500,+19,34.000000 
 1,0500,+22,33.000000 
 1,0500,+25,9.000000 
 1,0500,+28,359.000000 
 1,0500,+31,356.000000 
 1,0500,+34,334.000000 
 1,0500,+37,343.000000 
 1,0500,+40,345.000000 
 1,0500,+43,347.000000 
 1,0500,+46,336.000000 
 1,0500,+49,329.000000 
 1,0500,+52,332.000000 
 1,0500,+55,339.000000 
 1,0500,+58,342.000000 
 1,0800,+4,270.000000 
 1,0800,+7,270.000000 
 1,0800,+10,313.000000 
 1,0800,+13,343.000000 
 1,0800,+16,34.000000 
 1,0800,+19,33.000000 
 1,0800,+22,9.000000 
 1,0800,+25,359.000000 
 1,0800,+28,356.000000 
 1,0800,+31,334.000000 
 1,0800,+34,343.000000 
 1,0800,+37,345.000000 
 1,0800,+40,347.000000 
 1,0800,+43,336.000000 
 1,0800,+46,329.000000 
 1,0800,+49,332.000000 
 1,0800,+52,339.000000 
 1,0800,+55,342.000000 
 1,1100,+4,270.000000 
 1,1100,+7,313.000000 
 1,1100,+10,343.000000 
 1,1100,+13,34.000000 
 1,1100,+16,33.000000 
 1,1100,+19,9.000000 
 1,1100,+22,359.000000 
 1,1100,+25,356.000000 
 1,1100,+28,334.000000 
 1,1100,+31,343.000000 
 1,1100,+34,345.000000 
 1,1100,+37,347.000000 
 1,1100,+40,336.000000 
 1,1100,+43,329.000000 
 1,1100,+46,332.000000 
 1,1100,+49,339.000000 
 1,1100,+52,342.000000 
 1,1400,+4,313.000000 
 1,1400,+7,343.000000 
 1,1400,+10,34.000000 
 1,1400,+13,33.000000 
 1,1400,+16,9.000000 
 1,1400,+19,359.000000 
 1,1400,+22,356.000000 
 1,1400,+25,334.000000 
 1,1400,+28,343.000000 
 1,1400,+31,345.000000 
 1,1400,+34,347.000000 
 1,1400,+37,336.000000 
 1,1400,+40,329.000000 
 1,1400,+43,332.000000 
 1,1400,+46,339.000000 
 1,1400,+49,342.000000 
 1,1700,+4,343.000000 
 1,1700,+7,34.000000 
 1,1700,+10,33.000000 
 1,1700,+13,9.000000 
 1,1700,+16,359.000000 
 1,1700,+19,356.000000 
 1,1700,+22,334.000000 
 1,1700,+25,343.000000 
 1,1700,+28,345.000000 
 1,1700,+31,347.000000 
 1,1700,+34,336.000000 
 1,1700,+37,329.000000 
 1,1700,+40,332.000000 
 1,1700,+43,339.000000 
 1,1700,+46,342.000000 
 1,2000,+4,353.000000 
 1,2000,+7,343.000000 
 1,2000,+10,339.000000 
 1,2000,+13,326.000000 
 1,2000,+16,332.000000 
 1,2000,+19,339.000000 
 1,2000,+22,337.000000 
 1,2000,+25,337.000000 
 1,2000,+28,338.000000 
 1,2000,+31,332.000000 
 1,2000,+34,336.000000 
 1,2000,+37,336.000000 
 1,2000,+40,339.000000 
 1,2000,+43,341.000000 
 1,2000,+46,347.000000 
 1,2000,+49,346.000000 
 1,2000,+52,338.000000 
 1,2000,+55,333.000000 
 1,2000,+58,346.000000 
 1,2000,+61,15.000000 
 1,2000,+64,52.000000 
 1,2000,+67,60.000000 
 1,2300,+4,343.000000 
 1,2300,+7,339.000000 
 1,2300,+10,326.000000 
 1,2300,+13,332.000000 
 1,2300,+16,339.000000 
 1,2300,+19,337.000000 
 1,2300,+22,337.000000 
 1,2300,+25,338.000000 
 1,2300,+28,332.000000 
 1,2300,+31,336.000000 
 1,2300,+34,336.000000 
 1,2300,+37,339.000000 
 1,2300,+40,341.000000 
 1,2300,+43,347.000000 
 1,2300,+46,346.000000 
 1,2300,+49,338.000000 
 1,2300,+52,333.000000 
 1,2300,+55,346.000000 
 1,2300,+58,15.000000 
 1,2300,+61,52.000000 
 1,2300,+64,60.000000 
 2,0200,+4,339.000000 
 2,0200,+7,326.000000 
 2,0200,+10,332.000000 
 2,0200,+13,339.000000 
 2,0200,+16,337.000000 
 2,0200,+19,337.000000 
 2,0200,+22,338.000000 
 2,0200,+25,332.000000 
 2,0200,+28,336.000000 
 2,0200,+31,336.000000 
 2,0200,+34,339.000000 
 2,0200,+37,341.000000 
 2,0200,+40,347.000000 
 2,0200,+43,346.000000 
 2,0200,+46,338.000000 
 2,0200,+49,333.000000 
 2,0200,+52,346.000000 
 2,0200,+55,15.000000 
 2,0200,+58,52.000000 
 2,0200,+61,60.000000 
 2,0500,+4,326.000000 
 2,0500,+7,332.000000 
 2,0500,+10,339.000000 
 2,0500,+13,337.000000 
 2,0500,+16,337.000000 
 2,0500,+19,338.000000 
 2,0500,+22,332.000000 
 2,0500,+25,336.000000 
 2,0500,+28,336.000000 
 2,0500,+31,339.000000 
 2,0500,+34,341.000000 
 2,0500,+37,347.000000 
 2,0500,+40,346.000000 
 2,0500,+43,338.000000 
 2,0500,+46,333.000000 
 2,0500,+49,346.000000 
 2,0500,+52,15.000000 
 2,0500,+55,52.000000 
 2,0500,+58,60.000000 
 2,0800,+4,337.000000 
 2,0800,+7,337.000000 
 2,0800,+10,336.000000 
 2,0800,+13,340.000000 
 2,0800,+16,341.000000 
 2,0800,+19,337.000000 
 2,0800,+22,333.000000 
 2,0800,+25,330.000000 
 2,0800,+28,337.000000 
 2,0800,+31,342.000000 
 2,0800,+34,342.000000 
 2,0800,+37,346.000000 
 2,0800,+40,342.000000 
 2,0800,+43,341.000000 
 2,0800,+46,353.000000 
 2,0800,+49,19.000000 
 2,0800,+52,51.000000 
 2,0800,+55,55.000000 
 2,1100,+4,337.000000 
 2,1100,+7,336.000000 
