 format: day,hour,forecast,value  location:102_83 Start : 20180101 
 1,0200,+4,314.000000 
 1,0200,+7,298.000000 
 1,0200,+10,286.000000 
 1,0200,+13,312.000000 
 1,0200,+16,324.000000 
 1,0200,+19,308.000000 
 1,0200,+22,309.000000 
 1,0200,+25,318.000000 
 1,0200,+28,304.000000 
 1,0200,+31,256.000000 
 1,0200,+34,246.000000 
 1,0200,+37,284.000000 
 1,0200,+40,355.000000 
 1,0200,+43,302.000000 
 1,0200,+46,318.000000 
 1,0200,+49,322.000000 
 1,0200,+52,332.000000 
 1,0200,+55,305.000000 
 1,0200,+58,302.000000 
 1,0200,+61,311.000000 
 1,0500,+4,298.000000 
 1,0500,+7,286.000000 
 1,0500,+10,312.000000 
 1,0500,+13,324.000000 
 1,0500,+16,308.000000 
 1,0500,+19,309.000000 
 1,0500,+22,318.000000 
 1,0500,+25,304.000000 
 1,0500,+28,256.000000 
 1,0500,+31,246.000000 
 1,0500,+34,284.000000 
 1,0500,+37,355.000000 
 1,0500,+40,302.000000 
 1,0500,+43,318.000000 
 1,0500,+46,322.000000 
 1,0500,+49,332.000000 
 1,0500,+52,305.000000 
 1,0500,+55,302.000000 
 1,0500,+58,311.000000 
 1,0800,+4,286.000000 
 1,0800,+7,312.000000 
 1,0800,+10,324.000000 
 1,0800,+13,308.000000 
 1,0800,+16,309.000000 
 1,0800,+19,318.000000 
 1,0800,+22,304.000000 
 1,0800,+25,256.000000 
 1,0800,+28,246.000000 
 1,0800,+31,284.000000 
 1,0800,+34,355.000000 
 1,0800,+37,302.000000 
 1,0800,+40,318.000000 
 1,0800,+43,322.000000 
 1,0800,+46,332.000000 
 1,0800,+49,305.000000 
 1,0800,+52,302.000000 
 1,0800,+55,311.000000 
 1,1100,+4,312.000000 
 1,1100,+7,324.000000 
 1,1100,+10,308.000000 
 1,1100,+13,309.000000 
 1,1100,+16,318.000000 
 1,1100,+19,304.000000 
 1,1100,+22,256.000000 
 1,1100,+25,246.000000 
 1,1100,+28,284.000000 
 1,1100,+31,355.000000 
 1,1100,+34,302.000000 
 1,1100,+37,318.000000 
 1,1100,+40,322.000000 
 1,1100,+43,332.000000 
 1,1100,+46,305.000000 
 1,1100,+49,302.000000 
 1,1100,+52,311.000000 
 1,1400,+4,324.000000 
 1,1400,+7,308.000000 
 1,1400,+10,309.000000 
 1,1400,+13,318.000000 
 1,1400,+16,304.000000 
 1,1400,+19,256.000000 
 1,1400,+22,246.000000 
 1,1400,+25,284.000000 
 1,1400,+28,355.000000 
 1,1400,+31,302.000000 
 1,1400,+34,318.000000 
 1,1400,+37,322.000000 
 1,1400,+40,332.000000 
 1,1400,+43,305.000000 
 1,1400,+46,302.000000 
 1,1400,+49,311.000000 
 1,1700,+4,308.000000 
 1,1700,+7,309.000000 
 1,1700,+10,318.000000 
 1,1700,+13,304.000000 
 1,1700,+16,256.000000 
 1,1700,+19,246.000000 
 1,1700,+22,284.000000 
 1,1700,+25,355.000000 
 1,1700,+28,302.000000 
 1,1700,+31,318.000000 
 1,1700,+34,322.000000 
 1,1700,+37,332.000000 
 1,1700,+40,305.000000 
 1,1700,+43,302.000000 
 1,1700,+46,311.000000 
 1,2000,+4,301.000000 
 1,2000,+7,315.000000 
 1,2000,+10,307.000000 
 1,2000,+13,287.000000 
 1,2000,+16,291.000000 
 1,2000,+19,310.000000 
 1,2000,+22,302.000000 
 1,2000,+25,313.000000 
 1,2000,+28,311.000000 
 1,2000,+31,324.000000 
 1,2000,+34,330.000000 
 1,2000,+37,307.000000 
 1,2000,+40,285.000000 
 1,2000,+43,323.000000 
 1,2000,+46,310.000000 
 1,2000,+49,315.000000 
 1,2000,+52,324.000000 
 1,2000,+55,328.000000 
 1,2000,+58,334.000000 
 1,2000,+61,324.000000 
 1,2000,+64,298.000000 
 1,2000,+67,297.000000 
 1,2300,+4,315.000000 
 1,2300,+7,307.000000 
 1,2300,+10,287.000000 
 1,2300,+13,291.000000 
 1,2300,+16,310.000000 
 1,2300,+19,302.000000 
 1,2300,+22,313.000000 
 1,2300,+25,311.000000 
 1,2300,+28,324.000000 
 1,2300,+31,330.000000 
 1,2300,+34,307.000000 
 1,2300,+37,285.000000 
 1,2300,+40,323.000000 
 1,2300,+43,310.000000 
 1,2300,+46,315.000000 
 1,2300,+49,324.000000 
 1,2300,+52,328.000000 
 1,2300,+55,334.000000 
 1,2300,+58,324.000000 
 1,2300,+61,298.000000 
 1,2300,+64,297.000000 
 2,0200,+4,307.000000 
 2,0200,+7,287.000000 
 2,0200,+10,291.000000 
 2,0200,+13,310.000000 
 2,0200,+16,302.000000 
 2,0200,+19,313.000000 
 2,0200,+22,311.000000 
 2,0200,+25,324.000000 
 2,0200,+28,330.000000 
 2,0200,+31,307.000000 
 2,0200,+34,285.000000 
 2,0200,+37,323.000000 
 2,0200,+40,310.000000 
 2,0200,+43,315.000000 
 2,0200,+46,324.000000 
 2,0200,+49,328.000000 
 2,0200,+52,334.000000 
 2,0200,+55,324.000000 
 2,0200,+58,298.000000 
 2,0200,+61,297.000000 
 2,0500,+4,287.000000 
 2,0500,+7,291.000000 
 2,0500,+10,310.000000 
 2,0500,+13,302.000000 
 2,0500,+16,313.000000 
 2,0500,+19,311.000000 
 2,0500,+22,324.000000 
 2,0500,+25,330.000000 
 2,0500,+28,307.000000 
 2,0500,+31,285.000000 
 2,0500,+34,323.000000 
 2,0500,+37,310.000000 
 2,0500,+40,315.000000 
 2,0500,+43,324.000000 
 2,0500,+46,328.000000 
 2,0500,+49,334.000000 
 2,0500,+52,324.000000 
 2,0500,+55,298.000000 
 2,0500,+58,297.000000 
 2,0800,+4,286.000000 
 2,0800,+7,309.000000 
 2,0800,+10,310.000000 
 2,0800,+13,311.000000 
 2,0800,+16,313.000000 
 2,0800,+19,324.000000 
 2,0800,+22,325.000000 
 2,0800,+25,306.000000 
 2,0800,+28,306.000000 
 2,0800,+31,319.000000 
 2,0800,+34,315.000000 
 2,0800,+37,322.000000 
 2,0800,+40,319.000000 
 2,0800,+43,331.000000 
 2,0800,+46,341.000000 
 2,0800,+49,307.000000 
 2,0800,+52,306.000000 
 2,0800,+55,306.000000 
 2,1100,+4,309.000000 
 2,1100,+7,310.000000 
 2,1100,+10,311.000000 
 2,1100,+13,313.000000 
 2,1100,+16,324.000000 
 2,1100,+19,325.000000 
 2,1100,+22,306.000000 
 2,1100,+25,306.000000 
 2,1100,+28,319.000000 
 2,1100,+31,315.000000 
 2,1100,+34,322.000000 
 2,1100,+37,319.000000 
 2,1100,+40,331.000000 
 2,1100,+43,341.000000 
 2,1100,+46,307.000000 
 2,1100,+49,306.000000 
 2,1100,+52,306.000000 
 2,1400,+4,310.000000 
 2,1400,+7,311.000000 
 2,1400,+10,313.000000 
 2,1400,+13,324.000000 
 2,1400,+16,325.000000 
 2,1400,+19,306.000000 
 2,1400,+22,306.000000 
 2,1400,+25,319.000000 
 2,1400,+28,315.000000 
 2,1400,+31,322.000000 
 2,1400,+34,319.000000 
 2,1400,+37,331.000000 
 2,1400,+40,341.000000 
 2,1400,+43,307.000000 
 2,1400,+46,306.000000 
 2,1400,+49,306.000000 
 2,1700,+4,311.000000 
 2,1700,+7,313.000000 
 2,1700,+10,324.000000 
 2,1700,+13,325.000000 
 2,1700,+16,306.000000 
 2,1700,+19,306.000000 
 2,1700,+22,319.000000 
 2,1700,+25,315.000000 
 2,1700,+28,322.000000 
 2,1700,+31,319.000000 
 2,1700,+34,331.000000 
 2,1700,+37,341.000000 
 2,1700,+40,307.000000 
 2,1700,+43,306.000000 
 2,1700,+46,306.000000 
 2,2000,+4,309.000000 
 2,2000,+7,319.000000 
 2,2000,+10,320.000000 
 2,2000,+13,313.000000 
 2,2000,+16,311.000000 
 2,2000,+19,321.000000 
 2,2000,+22,313.000000 
 2,2000,+25,317.000000 
 2,2000,+28,324.000000 
 2,2000,+31,349.000000 
 2,2000,+34,342.000000 
 2,2000,+37,313.000000 
 2,2000,+40,284.000000 
 2,2000,+43,297.000000 
 2,2000,+46,302.000000 
 2,2000,+49,315.000000 
 2,2000,+52,312.000000 
 2,2000,+55,318.000000 
 2,2000,+58,312.000000 
 2,2000,+61,311.000000 
 2,2000,+64,310.000000 
 2,2000,+67,319.000000 
 2,2300,+4,319.000000 
 2,2300,+7,320.000000 
 2,2300,+10,313.000000 
 2,2300,+13,311.000000 
 2,2300,+16,321.000000 
 2,2300,+19,313.000000 
 2,2300,+22,317.000000 
 2,2300,+25,324.000000 
 2,2300,+28,349.000000 
 2,2300,+31,342.000000 
 2,2300,+34,313.000000 
 2,2300,+37,284.000000 
 2,2300,+40,297.000000 
 2,2300,+43,302.000000 
 2,2300,+46,315.000000 
 2,2300,+49,312.000000 
 2,2300,+52,318.000000 
 2,2300,+55,312.000000 
 2,2300,+58,311.000000 
 2,2300,+61,310.000000 
 2,2300,+64,319.000000 
 3,0200,+4,320.000000 
 3,0200,+7,313.000000 
 3,0200,+10,311.000000 
 3,0200,+13,321.000000 
 3,0200,+16,313.000000 
 3,0200,+19,317.000000 
 3,0200,+22,324.000000 
 3,0200,+25,349.000000 
 3,0200,+28,342.000000 
 3,0200,+31,313.000000 
 3,0200,+34,284.000000 
 3,0200,+37,297.000000 
 3,0200,+40,302.000000 
 3,0200,+43,315.000000 
 3,0200,+46,312.000000 
 3,0200,+49,318.000000 
 3,0200,+52,312.000000 
 3,0200,+55,311.000000 
 3,0200,+58,310.000000 
 3,0200,+61,319.000000 
 3,0500,+4,313.000000 
 3,0500,+7,311.000000 
 3,0500,+10,321.000000 
 3,0500,+13,313.000000 
 3,0500,+16,317.000000 
 3,0500,+19,324.000000 
 3,0500,+22,349.000000 
 3,0500,+25,342.000000 
 3,0500,+28,313.000000 
 3,0500,+31,284.000000 
 3,0500,+34,297.000000 
 3,0500,+37,302.000000 
 3,0500,+40,315.000000 
 3,0500,+43,312.000000 
 3,0500,+46,318.000000 
 3,0500,+49,312.000000 
 3,0500,+52,311.000000 
 3,0500,+55,310.000000 
 3,0500,+58,319.000000 
 3,0800,+4,318.000000 
 3,0800,+7,318.000000 
 3,0800,+10,315.000000 
 3,0800,+13,317.000000 
 3,0800,+16,316.000000 
 3,0800,+19,337.000000 
 3,0800,+22,353.000000 
 3,0800,+25,305.000000 
 3,0800,+28,301.000000 
 3,0800,+31,291.000000 
 3,0800,+34,300.000000 
 3,0800,+37,322.000000 
 3,0800,+40,326.000000 
 3,0800,+43,320.000000 
 3,0800,+46,312.000000 
 3,0800,+49,312.000000 
 3,0800,+52,318.000000 
 3,0800,+55,323.000000 
 3,1100,+4,318.000000 
 3,1100,+7,315.000000 
 3,1100,+10,317.000000 
 3,1100,+13,316.000000 
 3,1100,+16,337.000000 
 3,1100,+19,353.000000 
 3,1100,+22,305.000000 
 3,1100,+25,301.000000 
 3,1100,+28,291.000000 
 3,1100,+31,300.000000 
 3,1100,+34,322.000000 
 3,1100,+37,326.000000 
 3,1100,+40,320.000000 
 3,1100,+43,312.000000 
 3,1100,+46,312.000000 
 3,1100,+49,318.000000 
 3,1100,+52,323.000000 
 3,1400,+4,315.000000 
 3,1400,+7,317.000000 
 3,1400,+10,316.000000 
 3,1400,+13,337.000000 
 3,1400,+16,353.000000 
 3,1400,+19,305.000000 
 3,1400,+22,301.000000 
 3,1400,+25,291.000000 
 3,1400,+28,300.000000 
 3,1400,+31,322.000000 
 3,1400,+34,326.000000 
 3,1400,+37,320.000000 
 3,1400,+40,312.000000 
 3,1400,+43,312.000000 
 3,1400,+46,318.000000 
 3,1400,+49,323.000000 
 3,1700,+4,317.000000 
 3,1700,+7,316.000000 
 3,1700,+10,337.000000 
 3,1700,+13,353.000000 
 3,1700,+16,305.000000 
 3,1700,+19,301.000000 
 3,1700,+22,291.000000 
 3,1700,+25,300.000000 
 3,1700,+28,322.000000 
 3,1700,+31,326.000000 
 3,1700,+34,320.000000 
 3,1700,+37,312.000000 
 3,1700,+40,312.000000 
 3,1700,+43,318.000000 
 3,1700,+46,323.000000 
 3,2000,+4,320.000000 
 3,2000,+7,341.000000 
 3,2000,+10,3.000000 
 3,2000,+13,306.000000 
 3,2000,+16,295.000000 
 3,2000,+19,306.000000 
 3,2000,+22,307.000000 
 3,2000,+25,312.000000 
 3,2000,+28,323.000000 
 3,2000,+31,324.000000 
 3,2000,+34,310.000000 
 3,2000,+37,308.000000 
 3,2000,+40,321.000000 
 3,2000,+43,325.000000 
 3,2000,+46,313.000000 
 3,2000,+49,325.000000 
 3,2000,+52,320.000000 
 3,2000,+55,318.000000 
 3,2000,+58,315.000000 
